component_model_id,season,Model Week,location,weight
Dynamic Harmonic Model,2013/2014,41,HHS Region 1,0.853308474259451
Historical Average,2013/2014,41,HHS Region 1,8.70204500296052e-06
Subtype Historical Average,2013/2014,41,HHS Region 1,0.146682823695546
Dynamic Harmonic Model,2014/2015,41,HHS Region 1,0.972199643823509
Historical Average,2014/2015,41,HHS Region 1,4.64192695631916e-05
Subtype Historical Average,2014/2015,41,HHS Region 1,0.027753936906928
Dynamic Harmonic Model,2015/2016,41,HHS Region 1,0.907429530604118
Historical Average,2015/2016,41,HHS Region 1,6.09473262868235e-06
Subtype Historical Average,2015/2016,41,HHS Region 1,0.0925643746632536
Dynamic Harmonic Model,2016/2017,41,HHS Region 1,0.789342640393678
Historical Average,2016/2017,41,HHS Region 1,7.62646668887944e-06
Subtype Historical Average,2016/2017,41,HHS Region 1,0.210649733139633
Dynamic Harmonic Model,2017/2018,41,HHS Region 1,0.660792435109373
Historical Average,2017/2018,41,HHS Region 1,6.57835242861786e-06
Subtype Historical Average,2017/2018,41,HHS Region 1,0.339200986538198
Dynamic Harmonic Model,2010/2011,42,HHS Region 1,0.999961926294926
Historical Average,2010/2011,42,HHS Region 1,5.01676417822077e-15
Subtype Historical Average,2010/2011,42,HHS Region 1,3.8073705069018e-05
Dynamic Harmonic Model,2011/2012,42,HHS Region 1,0.761681357487179
Historical Average,2011/2012,42,HHS Region 1,5.10829688576941e-06
Subtype Historical Average,2011/2012,42,HHS Region 1,0.238313534215935
Dynamic Harmonic Model,2012/2013,42,HHS Region 1,0.940702267805318
Historical Average,2012/2013,42,HHS Region 1,2.55228933251315e-06
Subtype Historical Average,2012/2013,42,HHS Region 1,0.0592951799053494
Dynamic Harmonic Model,2013/2014,42,HHS Region 1,0.90775997288487
Historical Average,2013/2014,42,HHS Region 1,6.28416789184309e-06
Subtype Historical Average,2013/2014,42,HHS Region 1,0.0922337429472385
Dynamic Harmonic Model,2014/2015,42,HHS Region 1,0.999997550050035
Historical Average,2014/2015,42,HHS Region 1,2.14145140921548e-07
Subtype Historical Average,2014/2015,42,HHS Region 1,2.23580482458268e-06
Dynamic Harmonic Model,2015/2016,42,HHS Region 1,0.977615660661169
Historical Average,2015/2016,42,HHS Region 1,1.33707622354923e-10
Subtype Historical Average,2015/2016,42,HHS Region 1,0.022384339205123
Dynamic Harmonic Model,2016/2017,42,HHS Region 1,0.886612046694076
Historical Average,2016/2017,42,HHS Region 1,5.42410514275836e-06
Subtype Historical Average,2016/2017,42,HHS Region 1,0.113382529200782
Dynamic Harmonic Model,2017/2018,42,HHS Region 1,0.734402406160328
Historical Average,2017/2018,42,HHS Region 1,5.50790247862628e-06
Subtype Historical Average,2017/2018,42,HHS Region 1,0.265592085937193
Dynamic Harmonic Model,2010/2011,43,HHS Region 1,0.999186541045824
Historical Average,2010/2011,43,HHS Region 1,5.92189940863192e-23
Subtype Historical Average,2010/2011,43,HHS Region 1,0.000813458954175479
Dynamic Harmonic Model,2011/2012,43,HHS Region 1,0.875406131969696
Historical Average,2011/2012,43,HHS Region 1,4.38702530881601e-06
Subtype Historical Average,2011/2012,43,HHS Region 1,0.124589481004996
Dynamic Harmonic Model,2012/2013,43,HHS Region 1,0.968750230017005
Historical Average,2012/2013,43,HHS Region 1,1.02444715933266e-07
Subtype Historical Average,2012/2013,43,HHS Region 1,0.0312496675382793
Dynamic Harmonic Model,2013/2014,43,HHS Region 1,0.952581452261393
Historical Average,2013/2014,43,HHS Region 1,6.02637493401339e-06
Subtype Historical Average,2013/2014,43,HHS Region 1,0.0474125213636731
Dynamic Harmonic Model,2014/2015,43,HHS Region 1,0.999997413748406
Historical Average,2014/2015,43,HHS Region 1,2.79451574160747e-08
Subtype Historical Average,2014/2015,43,HHS Region 1,2.55830643687682e-06
Dynamic Harmonic Model,2015/2016,43,HHS Region 1,0.983310485611101
Historical Average,2015/2016,43,HHS Region 1,1.08964176632407e-10
Subtype Historical Average,2015/2016,43,HHS Region 1,0.0166895142799344
Dynamic Harmonic Model,2016/2017,43,HHS Region 1,0.919312384458313
Historical Average,2016/2017,43,HHS Region 1,3.83786184080821e-06
Subtype Historical Average,2016/2017,43,HHS Region 1,0.0806837776798465
Dynamic Harmonic Model,2017/2018,43,HHS Region 1,0.738491471852183
Historical Average,2017/2018,43,HHS Region 1,4.20461465354298e-06
Subtype Historical Average,2017/2018,43,HHS Region 1,0.261504323533163
Dynamic Harmonic Model,2010/2011,44,HHS Region 1,0.999998131113634
Historical Average,2010/2011,44,HHS Region 1,3.46373698954966e-10
Subtype Historical Average,2010/2011,44,HHS Region 1,1.86853999194223e-06
Dynamic Harmonic Model,2011/2012,44,HHS Region 1,0.999934031021259
Historical Average,2011/2012,44,HHS Region 1,3.05442673971412e-14
Subtype Historical Average,2011/2012,44,HHS Region 1,6.59689787102804e-05
Dynamic Harmonic Model,2012/2013,44,HHS Region 1,0.999995662238417
Historical Average,2012/2013,44,HHS Region 1,5.4025802493518e-10
Subtype Historical Average,2012/2013,44,HHS Region 1,4.33722132454252e-06
Dynamic Harmonic Model,2013/2014,44,HHS Region 1,0.999996101736573
Historical Average,2013/2014,44,HHS Region 1,1.32064100284302e-08
Subtype Historical Average,2013/2014,44,HHS Region 1,3.88505701668106e-06
Dynamic Harmonic Model,2014/2015,44,HHS Region 1,0.999998629262151
Historical Average,2014/2015,44,HHS Region 1,6.94106513115895e-08
Subtype Historical Average,2014/2015,44,HHS Region 1,1.30132719734699e-06
Dynamic Harmonic Model,2015/2016,44,HHS Region 1,0.999997614114462
Historical Average,2015/2016,44,HHS Region 1,1.15674475258212e-09
Subtype Historical Average,2015/2016,44,HHS Region 1,2.38472879319409e-06
Dynamic Harmonic Model,2016/2017,44,HHS Region 1,0.999986964742722
Historical Average,2016/2017,44,HHS Region 1,2.91457040863195e-11
Subtype Historical Average,2016/2017,44,HHS Region 1,1.30352281324354e-05
Dynamic Harmonic Model,2017/2018,44,HHS Region 1,0.910648535171675
Historical Average,2017/2018,44,HHS Region 1,4.61892699537614e-06
Subtype Historical Average,2017/2018,44,HHS Region 1,0.0893468459013297
Dynamic Harmonic Model,2010/2011,45,HHS Region 1,0.999998768656157
Historical Average,2010/2011,45,HHS Region 1,1.30955407666734e-09
Subtype Historical Average,2010/2011,45,HHS Region 1,1.23003428927241e-06
Dynamic Harmonic Model,2011/2012,45,HHS Region 1,0.999994810673588
Historical Average,2011/2012,45,HHS Region 1,2.18773237431024e-10
Subtype Historical Average,2011/2012,45,HHS Region 1,5.18910763874617e-06
Dynamic Harmonic Model,2012/2013,45,HHS Region 1,0.999998101703676
Historical Average,2012/2013,45,HHS Region 1,1.95786924890609e-09
Subtype Historical Average,2012/2013,45,HHS Region 1,1.89633845478343e-06
Dynamic Harmonic Model,2013/2014,45,HHS Region 1,0.999998557212268
Historical Average,2013/2014,45,HHS Region 1,1.84718702085117e-08
Subtype Historical Average,2013/2014,45,HHS Region 1,1.42431586204474e-06
Dynamic Harmonic Model,2014/2015,45,HHS Region 1,0.999999198821048
Historical Average,2014/2015,45,HHS Region 1,4.80933516168005e-08
Subtype Historical Average,2014/2015,45,HHS Region 1,7.53085600602028e-07
Dynamic Harmonic Model,2015/2016,45,HHS Region 1,0.999998795626029
Historical Average,2015/2016,45,HHS Region 1,2.35439407717266e-09
Subtype Historical Average,2015/2016,45,HHS Region 1,1.20201957657395e-06
Dynamic Harmonic Model,2016/2017,45,HHS Region 1,0.999998452869789
Historical Average,2016/2017,45,HHS Region 1,2.96052661253013e-09
Subtype Historical Average,2016/2017,45,HHS Region 1,1.54416968436213e-06
Dynamic Harmonic Model,2017/2018,45,HHS Region 1,0.974205141991576
Historical Average,2017/2018,45,HHS Region 1,2.98820128345492e-11
Subtype Historical Average,2017/2018,45,HHS Region 1,0.0257948579785423
Dynamic Harmonic Model,2010/2011,46,HHS Region 1,0.999999482373821
Historical Average,2010/2011,46,HHS Region 1,2.17536054242417e-09
Subtype Historical Average,2010/2011,46,HHS Region 1,5.15450818312785e-07
Dynamic Harmonic Model,2011/2012,46,HHS Region 1,0.99999896008235
Historical Average,2011/2012,46,HHS Region 1,3.81377734884626e-09
Subtype Historical Average,2011/2012,46,HHS Region 1,1.03610387270894e-06
Dynamic Harmonic Model,2012/2013,46,HHS Region 1,0.999999032296881
Historical Average,2012/2013,46,HHS Region 1,4.550069366334e-09
Subtype Historical Average,2012/2013,46,HHS Region 1,9.63153049634891e-07
Dynamic Harmonic Model,2013/2014,46,HHS Region 1,0.999999359309992
Historical Average,2013/2014,46,HHS Region 1,1.88052230303221e-08
Subtype Historical Average,2013/2014,46,HHS Region 1,6.21884784589884e-07
Dynamic Harmonic Model,2014/2015,46,HHS Region 1,0.999999715151451
Historical Average,2014/2015,46,HHS Region 1,3.5895049226386e-08
Subtype Historical Average,2014/2015,46,HHS Region 1,2.48953500181015e-07
Dynamic Harmonic Model,2015/2016,46,HHS Region 1,0.999999516990845
Historical Average,2015/2016,46,HHS Region 1,4.57880413040951e-09
Subtype Historical Average,2015/2016,46,HHS Region 1,4.78430350437424e-07
Dynamic Harmonic Model,2016/2017,46,HHS Region 1,0.999999286938518
Historical Average,2016/2017,46,HHS Region 1,5.46244084565079e-09
Subtype Historical Average,2016/2017,46,HHS Region 1,7.07599040788592e-07
Dynamic Harmonic Model,2017/2018,46,HHS Region 1,0.999989240002381
Historical Average,2017/2018,46,HHS Region 1,8.55672480350793e-12
Subtype Historical Average,2017/2018,46,HHS Region 1,1.07599890626175e-05
Dynamic Harmonic Model,2010/2011,47,HHS Region 1,0.999999776750608
Historical Average,2010/2011,47,HHS Region 1,4.98567721179058e-09
Subtype Historical Average,2010/2011,47,HHS Region 1,2.1826371481748e-07
Dynamic Harmonic Model,2011/2012,47,HHS Region 1,0.999999549556708
Historical Average,2011/2012,47,HHS Region 1,8.6791081341856e-09
Subtype Historical Average,2011/2012,47,HHS Region 1,4.41764183801458e-07
Dynamic Harmonic Model,2012/2013,47,HHS Region 1,0.999999575742347
Historical Average,2012/2013,47,HHS Region 1,1.30390542817292e-08
Subtype Historical Average,2012/2013,47,HHS Region 1,4.11218598343744e-07
Dynamic Harmonic Model,2013/2014,47,HHS Region 1,0.999999736745331
Historical Average,2013/2014,47,HHS Region 1,3.69639569880575e-08
Subtype Historical Average,2013/2014,47,HHS Region 1,2.2629071177652e-07
Dynamic Harmonic Model,2014/2015,47,HHS Region 1,0.9999998664606
Historical Average,2014/2015,47,HHS Region 1,2.66316975421868e-08
Subtype Historical Average,2014/2015,47,HHS Region 1,1.06907702662186e-07
Dynamic Harmonic Model,2015/2016,47,HHS Region 1,0.999999782069119
Historical Average,2015/2016,47,HHS Region 1,1.09631595506532e-08
Subtype Historical Average,2015/2016,47,HHS Region 1,2.06967721069081e-07
Dynamic Harmonic Model,2016/2017,47,HHS Region 1,0.999999726847352
Historical Average,2016/2017,47,HHS Region 1,1.36886302858e-08
Subtype Historical Average,2016/2017,47,HHS Region 1,2.5946401769853e-07
Dynamic Harmonic Model,2017/2018,47,HHS Region 1,0.999998855706302
Historical Average,2017/2018,47,HHS Region 1,4.69331978202945e-09
Subtype Historical Average,2017/2018,47,HHS Region 1,1.1396003778681e-06
Dynamic Harmonic Model,2010/2011,48,HHS Region 1,0.999999838980246
Historical Average,2010/2011,48,HHS Region 1,4.07043029186937e-09
Subtype Historical Average,2010/2011,48,HHS Region 1,1.56949323706901e-07
Dynamic Harmonic Model,2011/2012,48,HHS Region 1,0.999999777393101
Historical Average,2011/2012,48,HHS Region 1,3.95210677770631e-09
Subtype Historical Average,2011/2012,48,HHS Region 1,2.18654792683818e-07
Dynamic Harmonic Model,2012/2013,48,HHS Region 1,0.999999697352561
Historical Average,2012/2013,48,HHS Region 1,8.23609872674348e-09
Subtype Historical Average,2012/2013,48,HHS Region 1,2.9441133978385e-07
Dynamic Harmonic Model,2013/2014,48,HHS Region 1,0.999999855860404
Historical Average,2013/2014,48,HHS Region 1,1.6003248745941e-08
Subtype Historical Average,2013/2014,48,HHS Region 1,1.28136347395606e-07
Dynamic Harmonic Model,2014/2015,48,HHS Region 1,0.999999879376482
Historical Average,2014/2015,48,HHS Region 1,1.9295766509054e-08
Subtype Historical Average,2014/2015,48,HHS Region 1,1.01327751872129e-07
Dynamic Harmonic Model,2015/2016,48,HHS Region 1,0.999999883080675
Historical Average,2015/2016,48,HHS Region 1,5.21649469378939e-09
Subtype Historical Average,2015/2016,48,HHS Region 1,1.11702830357612e-07
Dynamic Harmonic Model,2016/2017,48,HHS Region 1,0.999999801892097
Historical Average,2016/2017,48,HHS Region 1,6.38837666389141e-09
Subtype Historical Average,2016/2017,48,HHS Region 1,1.91719525923635e-07
Dynamic Harmonic Model,2017/2018,48,HHS Region 1,0.999999460182527
Historical Average,2017/2018,48,HHS Region 1,4.22043228232542e-09
Subtype Historical Average,2017/2018,48,HHS Region 1,5.35597040602011e-07
Dynamic Harmonic Model,2010/2011,49,HHS Region 1,0.999999933219296
Historical Average,2010/2011,49,HHS Region 1,9.7559603608392e-09
Subtype Historical Average,2010/2011,49,HHS Region 1,5.70247437982607e-08
Dynamic Harmonic Model,2011/2012,49,HHS Region 1,0.999999884720298
Historical Average,2011/2012,49,HHS Region 1,2.17757329501487e-08
Subtype Historical Average,2011/2012,49,HHS Region 1,9.35039689964861e-08
Dynamic Harmonic Model,2012/2013,49,HHS Region 1,0.999999852819113
Historical Average,2012/2013,49,HHS Region 1,5.24932813524295e-09
Subtype Historical Average,2012/2013,49,HHS Region 1,1.4193155873659e-07
Dynamic Harmonic Model,2013/2014,49,HHS Region 1,0.999999902532854
Historical Average,2013/2014,49,HHS Region 1,5.07983097044748e-08
Subtype Historical Average,2013/2014,49,HHS Region 1,4.66688359115903e-08
Dynamic Harmonic Model,2014/2015,49,HHS Region 1,0.999999933878806
Historical Average,2014/2015,49,HHS Region 1,3.7278572091553e-08
Subtype Historical Average,2014/2015,49,HHS Region 1,2.88426216885732e-08
Dynamic Harmonic Model,2015/2016,49,HHS Region 1,0.999999917246481
Historical Average,2015/2016,49,HHS Region 1,1.98401072422843e-08
Subtype Historical Average,2015/2016,49,HHS Region 1,6.2913412223129e-08
Dynamic Harmonic Model,2016/2017,49,HHS Region 1,0.99999989510579
Historical Average,2016/2017,49,HHS Region 1,2.48877278114673e-08
Subtype Historical Average,2016/2017,49,HHS Region 1,8.00064825414109e-08
Dynamic Harmonic Model,2017/2018,49,HHS Region 1,0.999999835126937
Historical Average,2017/2018,49,HHS Region 1,2.61285469465266e-08
Subtype Historical Average,2017/2018,49,HHS Region 1,1.38744516444091e-07
Dynamic Harmonic Model,2010/2011,50,HHS Region 1,0.937255722762371
Historical Average,2010/2011,50,HHS Region 1,3.21036674440746e-07
Subtype Historical Average,2010/2011,50,HHS Region 1,0.0627439562009543
Dynamic Harmonic Model,2011/2012,50,HHS Region 1,0.927979422740864
Historical Average,2011/2012,50,HHS Region 1,4.40151429785779e-07
Subtype Historical Average,2011/2012,50,HHS Region 1,0.0720201371077061
Dynamic Harmonic Model,2012/2013,50,HHS Region 1,0.928582433185147
Historical Average,2012/2013,50,HHS Region 1,3.92735443798776e-07
Subtype Historical Average,2012/2013,50,HHS Region 1,0.0714171740794089
Dynamic Harmonic Model,2013/2014,50,HHS Region 1,0.934434070103986
Historical Average,2013/2014,50,HHS Region 1,4.29352684148631e-07
Subtype Historical Average,2013/2014,50,HHS Region 1,0.0655655005433295
Dynamic Harmonic Model,2014/2015,50,HHS Region 1,0.999999947650276
Historical Average,2014/2015,50,HHS Region 1,1.18100646242145e-08
Subtype Historical Average,2014/2015,50,HHS Region 1,4.05396597067844e-08
Dynamic Harmonic Model,2015/2016,50,HHS Region 1,0.939797281224143
Historical Average,2015/2016,50,HHS Region 1,3.32307483935385e-07
Subtype Historical Average,2015/2016,50,HHS Region 1,0.0602023864683731
Dynamic Harmonic Model,2016/2017,50,HHS Region 1,0.931805142994343
Historical Average,2016/2017,50,HHS Region 1,4.00302420394506e-07
Subtype Historical Average,2016/2017,50,HHS Region 1,0.0681944567032369
Dynamic Harmonic Model,2017/2018,50,HHS Region 1,0.917088817870553
Historical Average,2017/2018,50,HHS Region 1,4.74062453805668e-07
Subtype Historical Average,2017/2018,50,HHS Region 1,0.082910708066993
Dynamic Harmonic Model,2010/2011,51,HHS Region 1,0.943947478265026
Historical Average,2010/2011,51,HHS Region 1,2.76856086778488e-07
Subtype Historical Average,2010/2011,51,HHS Region 1,0.0560522448788869
Dynamic Harmonic Model,2011/2012,51,HHS Region 1,0.93619617307711
Historical Average,2011/2012,51,HHS Region 1,3.38497218909987e-07
Subtype Historical Average,2011/2012,51,HHS Region 1,0.0638034884256713
Dynamic Harmonic Model,2012/2013,51,HHS Region 1,0.930338541488988
Historical Average,2012/2013,51,HHS Region 1,3.66796295155387e-07
Subtype Historical Average,2012/2013,51,HHS Region 1,0.0696610917147172
Dynamic Harmonic Model,2013/2014,51,HHS Region 1,0.94135199971029
Historical Average,2013/2014,51,HHS Region 1,3.29768404992315e-07
Subtype Historical Average,2013/2014,51,HHS Region 1,0.0586476705213045
Dynamic Harmonic Model,2014/2015,51,HHS Region 1,0.999999961897283
Historical Average,2014/2015,51,HHS Region 1,8.86081817493547e-09
Subtype Historical Average,2014/2015,51,HHS Region 1,2.92418984071749e-08
Dynamic Harmonic Model,2015/2016,51,HHS Region 1,0.943834934393675
Historical Average,2015/2016,51,HHS Region 1,2.49775806081325e-07
Subtype Historical Average,2015/2016,51,HHS Region 1,0.0561648158305184
Dynamic Harmonic Model,2016/2017,51,HHS Region 1,0.938971741330368
Historical Average,2016/2017,51,HHS Region 1,3.37466982588939e-07
Subtype Historical Average,2016/2017,51,HHS Region 1,0.0610279212026499
Dynamic Harmonic Model,2017/2018,51,HHS Region 1,0.939772050128719
Historical Average,2017/2018,51,HHS Region 1,2.86493311787859e-07
Subtype Historical Average,2017/2018,51,HHS Region 1,0.0602276633779689
Dynamic Harmonic Model,2010/2011,52,HHS Region 1,0.895586024205443
Historical Average,2010/2011,52,HHS Region 1,1.95598300508431e-07
Subtype Historical Average,2010/2011,52,HHS Region 1,0.104413780196256
Dynamic Harmonic Model,2011/2012,52,HHS Region 1,0.875951820168977
Historical Average,2011/2012,52,HHS Region 1,2.58096014221274e-07
Subtype Historical Average,2011/2012,52,HHS Region 1,0.124047921735009
Dynamic Harmonic Model,2012/2013,52,HHS Region 1,0.862859582305846
Historical Average,2012/2013,52,HHS Region 1,2.89386027578267e-07
Subtype Historical Average,2012/2013,52,HHS Region 1,0.137140128308126
Dynamic Harmonic Model,2013/2014,52,HHS Region 1,0.944304987873437
Historical Average,2013/2014,52,HHS Region 1,2.89554418455207e-07
Subtype Historical Average,2013/2014,52,HHS Region 1,0.0556947225721442
Dynamic Harmonic Model,2014/2015,52,HHS Region 1,0.948724944094392
Historical Average,2014/2015,52,HHS Region 1,1.7763821327833e-07
Subtype Historical Average,2014/2015,52,HHS Region 1,0.0512748782673947
Dynamic Harmonic Model,2015/2016,52,HHS Region 1,0.890145729390187
Historical Average,2015/2016,52,HHS Region 1,1.67602933377356e-07
Subtype Historical Average,2015/2016,52,HHS Region 1,0.10985410300688
Dynamic Harmonic Model,2016/2017,52,HHS Region 1,0.88168760150723
Historical Average,2016/2017,52,HHS Region 1,1.98862598059319e-07
Subtype Historical Average,2016/2017,52,HHS Region 1,0.118312199630172
Dynamic Harmonic Model,2017/2018,52,HHS Region 1,0.860776364949757
Historical Average,2017/2018,52,HHS Region 1,3.21406078657685e-07
Subtype Historical Average,2017/2018,52,HHS Region 1,0.139223313644164
Dynamic Harmonic Model,2010/2011,53,HHS Region 1,0.999999973204375
Historical Average,2010/2011,53,HHS Region 1,5.45249507689431e-09
Subtype Historical Average,2010/2011,53,HHS Region 1,2.1343130336209e-08
Dynamic Harmonic Model,2011/2012,53,HHS Region 1,0.999999960748726
Historical Average,2011/2012,53,HHS Region 1,9.66014546854758e-09
Subtype Historical Average,2011/2012,53,HHS Region 1,2.95911286713162e-08
Dynamic Harmonic Model,2012/2013,53,HHS Region 1,0.999999947937703
Historical Average,2012/2013,53,HHS Region 1,9.19570940216511e-09
Subtype Historical Average,2012/2013,53,HHS Region 1,4.28665878361631e-08
Dynamic Harmonic Model,2013/2014,53,HHS Region 1,0.999999968375214
Historical Average,2013/2014,53,HHS Region 1,8.48772141016277e-09
Subtype Historical Average,2013/2014,53,HHS Region 1,2.31370644026758e-08
Dynamic Harmonic Model,2014/2015,53,HHS Region 1,0.999999954395652
Historical Average,2014/2015,53,HHS Region 1,9.11014876904011e-09
Subtype Historical Average,2014/2015,53,HHS Region 1,3.64941989190302e-08
Dynamic Harmonic Model,2015/2016,53,HHS Region 1,0.999999967136772
Historical Average,2015/2016,53,HHS Region 1,5.7963374609576e-09
Subtype Historical Average,2015/2016,53,HHS Region 1,2.70668910179056e-08
Dynamic Harmonic Model,2016/2017,53,HHS Region 1,0.999999951206215
Historical Average,2016/2017,53,HHS Region 1,7.75306441253446e-09
Subtype Historical Average,2016/2017,53,HHS Region 1,4.1040721062318e-08
Dynamic Harmonic Model,2017/2018,53,HHS Region 1,0.999999930376348
Historical Average,2017/2018,53,HHS Region 1,1.16910732912453e-08
Subtype Historical Average,2017/2018,53,HHS Region 1,5.79325783222096e-08
Dynamic Harmonic Model,2010/2011,54,HHS Region 1,0.999999742405044
Historical Average,2010/2011,54,HHS Region 1,5.50115944705022e-10
Subtype Historical Average,2010/2011,54,HHS Region 1,2.57044839623301e-07
Dynamic Harmonic Model,2011/2012,54,HHS Region 1,0.999999619720315
Historical Average,2011/2012,54,HHS Region 1,2.92309237004833e-10
Subtype Historical Average,2011/2012,54,HHS Region 1,3.79987375384776e-07
Dynamic Harmonic Model,2012/2013,54,HHS Region 1,0.99999993498433
Historical Average,2012/2013,54,HHS Region 1,1.69451625540364e-09
Subtype Historical Average,2012/2013,54,HHS Region 1,6.33211534144387e-08
Dynamic Harmonic Model,2013/2014,54,HHS Region 1,0.99999968061336
Historical Average,2013/2014,54,HHS Region 1,7.436605437448e-10
Subtype Historical Average,2013/2014,54,HHS Region 1,3.18642979382507e-07
Dynamic Harmonic Model,2014/2015,54,HHS Region 1,0.999999873727618
Historical Average,2014/2015,54,HHS Region 1,6.44751826098594e-09
Subtype Historical Average,2014/2015,54,HHS Region 1,1.19824864108107e-07
Dynamic Harmonic Model,2015/2016,54,HHS Region 1,0.999999738491744
Historical Average,2015/2016,54,HHS Region 1,4.10374534296504e-10
Subtype Historical Average,2015/2016,54,HHS Region 1,2.61097881822692e-07
Dynamic Harmonic Model,2016/2017,54,HHS Region 1,0.99999974853804
Historical Average,2016/2017,54,HHS Region 1,2.74587137029516e-10
Subtype Historical Average,2016/2017,54,HHS Region 1,2.51187372647554e-07
Dynamic Harmonic Model,2017/2018,54,HHS Region 1,0.999999430202377
Historical Average,2017/2018,54,HHS Region 1,2.38972446218232e-10
Subtype Historical Average,2017/2018,54,HHS Region 1,5.69558650140136e-07
Dynamic Harmonic Model,2010/2011,55,HHS Region 1,0.905559871370235
Historical Average,2010/2011,55,HHS Region 1,1.40624955103247e-06
Subtype Historical Average,2010/2011,55,HHS Region 1,0.0944387223802139
Dynamic Harmonic Model,2011/2012,55,HHS Region 1,0.960703940179115
Historical Average,2011/2012,55,HHS Region 1,1.84613622736888e-06
Subtype Historical Average,2011/2012,55,HHS Region 1,0.0392942136846581
Dynamic Harmonic Model,2012/2013,55,HHS Region 1,0.958026992067913
Historical Average,2012/2013,55,HHS Region 1,1.27659612934094e-06
Subtype Historical Average,2012/2013,55,HHS Region 1,0.0419717313359579
Dynamic Harmonic Model,2013/2014,55,HHS Region 1,0.901819158407788
Historical Average,2013/2014,55,HHS Region 1,1.63615637444181e-06
Subtype Historical Average,2013/2014,55,HHS Region 1,0.0981792054358374
Dynamic Harmonic Model,2014/2015,55,HHS Region 1,0.898957039233979
Historical Average,2014/2015,55,HHS Region 1,2.2416519745229e-06
Subtype Historical Average,2014/2015,55,HHS Region 1,0.101040719114046
Dynamic Harmonic Model,2015/2016,55,HHS Region 1,0.904648429627362
Historical Average,2015/2016,55,HHS Region 1,1.27370542485569e-06
Subtype Historical Average,2015/2016,55,HHS Region 1,0.0953502966672126
Dynamic Harmonic Model,2016/2017,55,HHS Region 1,0.897580466744494
Historical Average,2016/2017,55,HHS Region 1,1.3956143059484e-06
Subtype Historical Average,2016/2017,55,HHS Region 1,0.1024181376412
Dynamic Harmonic Model,2017/2018,55,HHS Region 1,0.880574595371944
Historical Average,2017/2018,55,HHS Region 1,1.57320311361538e-06
Subtype Historical Average,2017/2018,55,HHS Region 1,0.119423831424943
Dynamic Harmonic Model,2010/2011,56,HHS Region 1,0.908736988172093
Historical Average,2010/2011,56,HHS Region 1,1.26411394645095e-06
Subtype Historical Average,2010/2011,56,HHS Region 1,0.0912617477139603
Dynamic Harmonic Model,2011/2012,56,HHS Region 1,0.900525118562689
Historical Average,2011/2012,56,HHS Region 1,1.50306315649586e-06
Subtype Historical Average,2011/2012,56,HHS Region 1,0.0994733783741545
Dynamic Harmonic Model,2012/2013,56,HHS Region 1,0.999999933488274
Historical Average,2012/2013,56,HHS Region 1,2.08922368523461e-09
Subtype Historical Average,2012/2013,56,HHS Region 1,6.44225019383277e-08
Dynamic Harmonic Model,2013/2014,56,HHS Region 1,0.918967463481023
Historical Average,2013/2014,56,HHS Region 1,1.54934472660145e-06
