component_model_id,season,location,weight
Subtype Historical Average,2015/2016,HHS Region 5,0.148037185986748
Dynamic Harmonic Model,2016/2017,HHS Region 5,0.82628185944358
Historical Average,2016/2017,HHS Region 5,1.02216726303e-06
Subtype Historical Average,2016/2017,HHS Region 5,0.173717118389157
Dynamic Harmonic Model,2017/2018,HHS Region 5,0.842388707342996
Historical Average,2017/2018,HHS Region 5,6.75283789225982e-07
Subtype Historical Average,2017/2018,HHS Region 5,0.157610617373215
Dynamic Harmonic Model,2010/2011,HHS Region 6,0.969874091966703
Historical Average,2010/2011,HHS Region 6,2.88558892178295e-06
Subtype Historical Average,2010/2011,HHS Region 6,0.0301230224443749
Dynamic Harmonic Model,2011/2012,HHS Region 6,0.962140936169858
Historical Average,2011/2012,HHS Region 6,2.80895157352001e-06
Subtype Historical Average,2011/2012,HHS Region 6,0.0378562548785681
Dynamic Harmonic Model,2012/2013,HHS Region 6,0.968802808130196
Historical Average,2012/2013,HHS Region 6,2.1303169039071e-06
Subtype Historical Average,2012/2013,HHS Region 6,0.0311950615529002
Dynamic Harmonic Model,2013/2014,HHS Region 6,0.969139591626906
Historical Average,2013/2014,HHS Region 6,6.25461424252146e-06
Subtype Historical Average,2013/2014,HHS Region 6,0.0308541537588518
Dynamic Harmonic Model,2014/2015,HHS Region 6,0.986351808347585
Historical Average,2014/2015,HHS Region 6,0.0129426835035196
Subtype Historical Average,2014/2015,HHS Region 6,0.000705508148895048
Dynamic Harmonic Model,2015/2016,HHS Region 6,0.974162954798647
Historical Average,2015/2016,HHS Region 6,2.32600854717538e-06
Subtype Historical Average,2015/2016,HHS Region 6,0.0258347191928061
Dynamic Harmonic Model,2016/2017,HHS Region 6,0.982116549329514
Historical Average,2016/2017,HHS Region 6,9.48105565142915e-07
Subtype Historical Average,2016/2017,HHS Region 6,0.0178825025649207
Dynamic Harmonic Model,2017/2018,HHS Region 6,0.968627262740403
Historical Average,2017/2018,HHS Region 6,2.25661061838252e-06
Subtype Historical Average,2017/2018,HHS Region 6,0.031370480648979
Dynamic Harmonic Model,2010/2011,HHS Region 7,0.982182073166853
Historical Average,2010/2011,HHS Region 7,3.90993188724257e-07
Subtype Historical Average,2010/2011,HHS Region 7,0.017817535839958
Dynamic Harmonic Model,2011/2012,HHS Region 7,0.982084222145738
Historical Average,2011/2012,HHS Region 7,3.99464584604669e-07
Subtype Historical Average,2011/2012,HHS Region 7,0.0179153783896776
Dynamic Harmonic Model,2012/2013,HHS Region 7,0.984094374666212
Historical Average,2012/2013,HHS Region 7,4.4127533099545e-07
Subtype Historical Average,2012/2013,HHS Region 7,0.0159051840584571
Dynamic Harmonic Model,2013/2014,HHS Region 7,0.985791316139132
Historical Average,2013/2014,HHS Region 7,8.02449974616384e-07
Subtype Historical Average,2013/2014,HHS Region 7,0.014207881410893
Dynamic Harmonic Model,2014/2015,HHS Region 7,0.988615105566735
Historical Average,2014/2015,HHS Region 7,7.64766780542115e-07
Subtype Historical Average,2014/2015,HHS Region 7,0.0113841296664842
Dynamic Harmonic Model,2015/2016,HHS Region 7,0.982072898390916
Historical Average,2015/2016,HHS Region 7,3.59054533545036e-07
Subtype Historical Average,2015/2016,HHS Region 7,0.01792674255455
Dynamic Harmonic Model,2016/2017,HHS Region 7,0.980873536525782
Historical Average,2016/2017,HHS Region 7,3.21712589422686e-07
Subtype Historical Average,2016/2017,HHS Region 7,0.0191261417616285
Dynamic Harmonic Model,2017/2018,HHS Region 7,0.988571601103163
Historical Average,2017/2018,HHS Region 7,2.45836415673553e-07
Subtype Historical Average,2017/2018,HHS Region 7,0.0114281530604211
Dynamic Harmonic Model,2010/2011,HHS Region 8,0.953447361893087
Historical Average,2010/2011,HHS Region 8,1.96996960873977e-06
Subtype Historical Average,2010/2011,HHS Region 8,0.0465506681373046
Dynamic Harmonic Model,2011/2012,HHS Region 8,0.944893287020674
Historical Average,2011/2012,HHS Region 8,1.48162253450875e-06
Subtype Historical Average,2011/2012,HHS Region 8,0.0551052313567919
Dynamic Harmonic Model,2012/2013,HHS Region 8,0.953847495556003
Historical Average,2012/2013,HHS Region 8,2.46161369135533e-06
Subtype Historical Average,2012/2013,HHS Region 8,0.0461500428303057
Dynamic Harmonic Model,2013/2014,HHS Region 8,0.953716890253984
Historical Average,2013/2014,HHS Region 8,3.3345761182547e-06
Subtype Historical Average,2013/2014,HHS Region 8,0.0462797751698973
Dynamic Harmonic Model,2014/2015,HHS Region 8,0.999999878665355
Historical Average,2014/2015,HHS Region 8,1.13835716947422e-08
Subtype Historical Average,2014/2015,HHS Region 8,1.0995107298551e-07
Dynamic Harmonic Model,2015/2016,HHS Region 8,0.953327014541268
Historical Average,2015/2016,HHS Region 8,2.46639441023682e-06
Subtype Historical Average,2015/2016,HHS Region 8,0.0466705190643216
Dynamic Harmonic Model,2016/2017,HHS Region 8,0.950855484294482
Historical Average,2016/2017,HHS Region 8,1.8977846018577e-06
Subtype Historical Average,2016/2017,HHS Region 8,0.0491426179209165
Dynamic Harmonic Model,2017/2018,HHS Region 8,0.950306294510298
Historical Average,2017/2018,HHS Region 8,1.7706312078858e-06
Subtype Historical Average,2017/2018,HHS Region 8,0.0496919348584937
Dynamic Harmonic Model,2010/2011,HHS Region 9,0.849047981033633
Historical Average,2010/2011,HHS Region 9,9.02908597256157e-06
Subtype Historical Average,2010/2011,HHS Region 9,0.150942989880395
Dynamic Harmonic Model,2011/2012,HHS Region 9,0.785922369029605
Historical Average,2011/2012,HHS Region 9,7.35390288884428e-06
Subtype Historical Average,2011/2012,HHS Region 9,0.214070277067506
Dynamic Harmonic Model,2012/2013,HHS Region 9,0.870823394566715
Historical Average,2012/2013,HHS Region 9,5.17050383260225e-06
Subtype Historical Average,2012/2013,HHS Region 9,0.129171434929452
Dynamic Harmonic Model,2013/2014,HHS Region 9,0.830491265896825
Historical Average,2013/2014,HHS Region 9,0.000370696168487529
Subtype Historical Average,2013/2014,HHS Region 9,0.169138037934687
Dynamic Harmonic Model,2014/2015,HHS Region 9,0.820425385794224
Historical Average,2014/2015,HHS Region 9,1.91734512489261e-05
Subtype Historical Average,2014/2015,HHS Region 9,0.179555440754527
Dynamic Harmonic Model,2015/2016,HHS Region 9,0.851486518257755
Historical Average,2015/2016,HHS Region 9,1.23430642967093e-05
Subtype Historical Average,2015/2016,HHS Region 9,0.148501138677948
Dynamic Harmonic Model,2016/2017,HHS Region 9,0.813999136952289
Historical Average,2016/2017,HHS Region 9,9.6715146512595e-06
Subtype Historical Average,2016/2017,HHS Region 9,0.18599119153306
Dynamic Harmonic Model,2017/2018,HHS Region 9,0.835230463744585
Historical Average,2017/2018,HHS Region 9,7.89085329411327e-06
Subtype Historical Average,2017/2018,HHS Region 9,0.164761645402121
Dynamic Harmonic Model,2010/2011,US National,0.935197963493111
Historical Average,2010/2011,US National,1.23079529015755e-06
Subtype Historical Average,2010/2011,US National,0.0648008057115989
Dynamic Harmonic Model,2011/2012,US National,0.888106769002468
Historical Average,2011/2012,US National,1.83594765321808e-06
Subtype Historical Average,2011/2012,US National,0.111891395049879
Dynamic Harmonic Model,2012/2013,US National,0.943038467344949
Historical Average,2012/2013,US National,1.27740267974957e-06
Subtype Historical Average,2012/2013,US National,0.056960255252371
Dynamic Harmonic Model,2013/2014,US National,0.928668597525068
Historical Average,2013/2014,US National,4.84050052649414e-06
Subtype Historical Average,2013/2014,US National,0.0713265619744056
Dynamic Harmonic Model,2014/2015,US National,0.93618990235794
Historical Average,2014/2015,US National,5.40336184331396e-06
Subtype Historical Average,2014/2015,US National,0.0638046942802166
Dynamic Harmonic Model,2015/2016,US National,0.925681479599161
Historical Average,2015/2016,US National,1.68328868175669e-06
Subtype Historical Average,2015/2016,US National,0.0743168371121571
Dynamic Harmonic Model,2016/2017,US National,0.915365141912215
Historical Average,2016/2017,US National,1.5438268472662e-06
Subtype Historical Average,2016/2017,US National,0.0846333142609376
Dynamic Harmonic Model,2017/2018,US National,0.930372988042846
Historical Average,2017/2018,US National,1.00210006867271e-06
Subtype Historical Average,2017/2018,US National,0.0696260098570854
Dynamic Harmonic Model,2018/2019,HHS Region 1,0.965940163188417
Historical Average,2018/2019,HHS Region 1,1.12931115353141e-06
Subtype Historical Average,2018/2019,HHS Region 1,0.0340587075004296
Dynamic Harmonic Model,2018/2019,HHS Region 10,0.983924978185949
Historical Average,2018/2019,HHS Region 10,6.43105880244248e-06
Subtype Historical Average,2018/2019,HHS Region 10,0.0160685907552486
Dynamic Harmonic Model,2018/2019,HHS Region 2,0.897914824291825
Historical Average,2018/2019,HHS Region 2,1.1001836409977e-06
Subtype Historical Average,2018/2019,HHS Region 2,0.102084075524534
Dynamic Harmonic Model,2018/2019,HHS Region 3,0.936708896686404
Historical Average,2018/2019,HHS Region 3,8.33611825181437e-07
Subtype Historical Average,2018/2019,HHS Region 3,0.0632902697017705
Dynamic Harmonic Model,2018/2019,HHS Region 4,0.942335611812211
Historical Average,2018/2019,HHS Region 4,1.95641109944614e-06
Subtype Historical Average,2018/2019,HHS Region 4,0.0576624317766891
Dynamic Harmonic Model,2018/2019,HHS Region 5,0.853574536011467
Historical Average,2018/2019,HHS Region 5,1.05700427853325e-06
Subtype Historical Average,2018/2019,HHS Region 5,0.146424406984254
Dynamic Harmonic Model,2018/2019,HHS Region 6,0.973222450815637
Historical Average,2018/2019,HHS Region 6,3.00551540892023e-06
Subtype Historical Average,2018/2019,HHS Region 6,0.0267745436689538
Dynamic Harmonic Model,2018/2019,HHS Region 7,0.984324352880545
Historical Average,2018/2019,HHS Region 7,4.36990136891985e-07
Subtype Historical Average,2018/2019,HHS Region 7,0.0156752101293178
Dynamic Harmonic Model,2018/2019,HHS Region 8,0.958251936726752
Historical Average,2018/2019,HHS Region 8,2.26820647806397e-06
Subtype Historical Average,2018/2019,HHS Region 8,0.0417457950667698
Dynamic Harmonic Model,2018/2019,HHS Region 9,0.832790141883065
Historical Average,2018/2019,HHS Region 9,1.12010103396515e-05
Subtype Historical Average,2018/2019,HHS Region 9,0.167198657106595
Dynamic Harmonic Model,2018/2019,US National,0.926249895312445
Historical Average,2018/2019,US National,1.85227120252285e-06
Subtype Historical Average,2018/2019,US National,0.0737482524163525
